id,genre,track_name,artist_name,valence,energy,danceability,acousticness,instrumentalness,liveness,loudness,speechiness,tempo,mood_feature,distance
6Xz1aikik2Qy81JXxpHvNB,acoustic,Utan dina andetag,Carolina Wallin Pérez,0.153,0.238,0.595,0.902,0.000506,0.114,-7.565,0.0287,91.184,"[0.153, 0.238]",0.007280109889280525
122K0DFci25e5DDGCpgIYd,swedish,Utan dina andetag,Carolina Wallin Pérez,0.153,0.238,0.595,0.902,0.000506,0.114,-7.565,0.0287,91.184,"[0.153, 0.238]",0.007280109889280525
4PTPbE3HvhxB9z3SYMBfz6,acoustic,"No Light, No Light - MTV Unplugged, 2012",Florence + The Machine,0.156,0.231,0.383,0.834,0.0,0.703,-10.257,0.0396,95.67,"[0.156, 0.231]",0.011180339887498947
65MY7lchjvHZqkwZS2Racj,k-pop,나는,V.A,0.138,0.224,0.599,0.862,1.12e-05,0.116,-13.07,0.0494,121.683,"[0.138, 0.224]",0.014422205101855932
5JPqcnABbQ0IT7Hyt0TAZT,trip-hop,You Make Me Cry,Guts,0.162,0.242,0.704,0.625,0.538,0.251,-11.255,0.0292,74.004,"[0.162, 0.242]",0.017088007490635077
4GbZzHdWieXac0DwgwgRCi,minimal-techno,Moan - Radio Slave's Remix For K,Various Artists,0.156,0.258,0.803,0.00451,0.85,0.0804,-11.707,0.0609,123.998,"[0.156, 0.258]",0.024166091947189168
3tIfDIe7lFtgyKuhLYF0ig,j-pop,夏の終りのハーモニー,Shota Shimizu,0.124,0.249,0.348,0.72,0.000156,0.111,-9.588,0.0268,73.366,"[0.124, 0.249]",0.025553864678361272
1UuwaTzUO6RqLUrtiUP7Kd,soul,The Glory Days,Michael Giacchino,0.145,0.262,0.334,0.732,0.388,0.235,-14.193,0.0391,80.446,"[0.145, 0.262]",0.026019223662515398
4Uy28QVxDK9lURTm2oM78b,disney,The Glory Days,Michael Giacchino,0.145,0.262,0.334,0.732,0.388,0.235,-14.193,0.0391,80.446,"[0.145, 0.262]",0.026019223662515398
46zvkOokIDzPN5f0KcdR9a,new-age,Vajra Guru Mantra,Various Artists,0.166,0.218,0.411,0.916,0.000204,0.296,-15.779,0.028,95.721,"[0.166, 0.218]",0.026907248094147424
