id,genre,track_name,artist_name,valence,energy,danceability,acousticness,instrumentalness,liveness,loudness,speechiness,tempo
3fCJRE4P1uU8dcqEW5mnM6,acoustic,Staple It Together,Jack Johnson,0.786,0.794,0.816,0.00644,0.00668,0.0791,-6.095,0.0486,94.023
7z7fquRFQFXt4Dj7ouWETq,acoustic,Hey There Delilah,Plain White T's,0.304,0.373,0.661,0.84,0.0,0.106,-8.169,0.0281,103.999
4PTPbE3HvhxB9z3SYMBfz6,acoustic,"No Light, No Light - MTV Unplugged, 2012",Florence + The Machine,0.156,0.231,0.383,0.834,0.0,0.703,-10.257,0.0396,95.67
3DDGhkxq3FeUorZppSgeLE,acoustic,Somewhere Only We Know,Lily Allen,0.278,0.286,0.314,0.935,0.0258,0.0999,-10.191,0.035,172.021
5LkAwO0AkY6Z3M4bCadu4r,acoustic,Freak On A Leash - Feat. Amy Lee,Korn,0.169,0.776,0.441,0.238,4.25e-06,0.923,-5.787,0.197,109.672
6akbXZeXdrWWsG77ZD3cuD,acoustic,Believe,Justin Bieber,0.508,0.847,0.51,0.163,0.0,0.156,-5.603,0.155,159.83
6wXy0MosS6KGV8yowVradf,acoustic,Luka,Suzanne Vega,0.722,0.229,0.755,0.88,0.0,0.11,-10.433,0.0397,124.675
0VZ9xPNa6ROafP6GYYuv2S,acoustic,Marry Me,Train,0.492,0.269,0.366,0.829,1.67e-05,0.108,-8.456,0.0287,86.577
37928J06bQreiIuhZvRlWQ,acoustic,When the Lights Die,Boyce Avenue,0.264,0.749,0.412,0.0286,0.0,0.0726,-4.657,0.0404,136.019
6IN5LJsJQNPwzkytnTtrJC,acoustic,The Violet Hour,The Civil Wars,0.166,0.18,0.384,0.983,0.953,0.105,-20.218,0.044,156.908
4o0NjemqhmsYLIMwlcosvW,acoustic,The Funeral,Band of Horses,0.127,0.769,0.316,0.0142,0.0,0.0928,-5.283,0.0422,122.507
2TdzUeMGoQNKZlQcqWqhtK,acoustic,Blue Liquid,Andy McKee,0.768,0.469,0.54,0.668,0.834,0.112,-12.332,0.0436,90.469
3l5GdoaOPPVWRjIgbTBejJ,acoustic,This Years Love,David Gray,0.193,0.208,0.324,0.698,2.89e-05,0.11,-8.848,0.0288,166.366
4VJgrWjrkodaGiq3xKz62z,acoustic,Sometimes (I Wish),City and Colour,0.135,0.467,0.523,0.311,2.01e-05,0.34,-7.713,0.0281,129.953
2Uj2BjZXVv9WvYFEVl8TDi,acoustic,Silent Way,Milo Greene,0.0605,0.296,0.47,0.853,0.368,0.0957,-14.123,0.0328,78.999
6IQTaNmbMMO1mX3p8iwEBQ,acoustic,Angeles,Elliott Smith,0.588,0.0993,0.53,0.86,0.2,0.153,-23.548,0.0549,118.139
5EShFPc0rLTHE2NaXlDume,acoustic,Live High - From the Avocado Salad Sessions,Jason Mraz,0.836,0.314,0.788,0.772,0.0,0.318,-11.023,0.0936,86.014
6mTnbyE5dsvXksrL86EbJU,acoustic,Handens fem fingrar,Lisa Nilsson,0.468,0.104,0.474,0.87,0.0,0.116,-17.706,0.0478,169.082
13ETkZ90sElK5xJuB4cUEt,acoustic,Bonfire Heart,James Blunt,0.449,0.821,0.575,0.181,0.0,0.124,-5.7,0.0527,118.021
7EDxtPOBjKETkd5N0wjCt5,acoustic,The Scientist (feat. Hannah Trigwell),Boyce Avenue,0.21,0.256,0.379,0.704,0.0,0.0907,-11.761,0.0282,155.469
6Xz1aikik2Qy81JXxpHvNB,acoustic,Utan dina andetag,Carolina Wallin Pérez,0.153,0.238,0.595,0.902,0.000506,0.114,-7.565,0.0287,91.184
2jdAk8ATWIL3dwT47XpRfu,acoustic,Slow Dancing in a Burning Room,John Mayer,0.29,0.361,0.667,0.575,0.00506,0.0805,-8.69,0.0273,134.018
2r07lezrHUPEuhhBYW9JnC,acoustic,World Spins Madly On,The Shirelles,0.337,0.361,0.527,0.559,3.95e-05,0.152,-11.214,0.0282,107.867
1uXHWnZ85lhAf19DRzU3Oz,acoustic,Walking Aimlessly,Anna Ternheim,0.344,0.302,0.541,0.78,0.0262,0.114,-12.793,0.0282,101.016
1u3PLSZ2YkkUBuapHKz29w,acoustic,Best Thing I Never Had (made famous by Beyoncé),Megan & Liz,0.382,0.11,0.601,0.849,0.0,0.25,-13.245,0.0618,142.68
0kH34dqX33tTq0ZEyoBFIm,acoustic,Fever To The Form,Nick Mulvey,0.237,0.566,0.335,0.785,0.0658,0.111,-8.929,0.0304,142.01
51jy98I9q9Nk1xyA0W4ZBg,acoustic,"If You've Gotta Go, Go Now - Bonus Track",Various Artists,0.325,0.217,0.548,0.722,2.15e-05,0.0788,-10.308,0.0266,87.01
0GNI8K3VATWBABQFAzBAYe,acoustic,Stay,Rihanna,0.125,0.31,0.621,0.945,6.12e-05,0.117,-10.164,0.0283,111.893
4hbGPfz03P8Nnh75mFIAoH,acoustic,Lucky - Live from Spotify Sessions,Jason Mraz,0.285,0.62,0.519,0.657,0.0,0.679,-8.156,0.151,100.137
4ZtzyPwK4Uf2OZEJZEPdTO,acoustic,When The War Is Over,Ian Moss,0.0708,0.264,0.505,0.553,2.59e-06,0.102,-8.245,0.038,82.488
7keXdrB4mz57u4b8YkCwag,acoustic,Dreaming with a Broken Heart,John Mayer,0.155,0.349,0.61,0.554,0.0099,0.201,-9.321,0.0301,136.012
7zkLpY72g6lKQbiHDqri1S,acoustic,Sunrise,Norah Jones,0.679,0.299,0.526,0.941,0.097,0.106,-13.797,0.031,156.848
1s2I9Q7zAE78m7aVZOq3ug,acoustic,Bang Bang - My Baby Shot Me Down,Various Artists,0.372,0.12,0.458,0.984,0.0993,0.111,-22.644,0.0512,125.035
5xZV3jkOFbKLH7ywEqGORA,acoustic,Gone,The Show Ponies,0.582,0.666,0.725,0.754,1.05e-06,0.15,-5.514,0.0774,120.139
4gIKec1woB9bIWIG8K7SZn,acoustic,I Won't Let You Go,James Morrison,0.161,0.602,0.533,0.238,0.0,0.149,-6.315,0.0298,106.028
2xDDetMrYexhj1gKK634iC,acoustic,Don't You Worry Child,Kurt Hugo Schneider,0.287,0.386,0.518,0.804,0.0,0.633,-9.294,0.0321,124.968
70zapGEw5KQiHBhjNcGjzo,acoustic,Little Hell,City and Colour,0.186,0.415,0.304,0.112,0.0,0.107,-10.132,0.0303,50.593
2hKdd3qO7cWr2Jo0Bcs0MA,acoustic,Drops of Jupiter (Tell Me),Train,0.497,0.638,0.481,0.153,0.0,0.154,-5.862,0.0276,79.064
